datetime,Servicios Financieros y Bancarios/itub,Energía y Petróleo/pbr, Minería y Recursos Naturales/vale,Brasil
2019-01-03,0.013388653656798644,0.01784421888623977,-0.04751303159027376,-0.005372452485587664
2019-01-04,0.013211543012144666,0.03506310017634795,0.09275147317943477,0.04653861840141604
2019-01-05,0.0,0.0,0.0,0.0
2019-01-06,0.0,0.0,0.0,0.0
2019-01-07,-0.009027342043145703,0.020325291420719482,-0.013552301260422395,-0.0007439361213400432
2019-01-08,0.0182184886733896,0.009295985064777357,0.016630701105868395,0.014567907698531666
2019-01-09,0.020874999482219936,0.027631871255121565,0.03200568522916969,0.026569143468948696
2019-01-10,-0.005842143946525935,-0.008963161318819579,-0.007581211221070694,-0.007387550440517349
2019-01-11,-0.009794960637927286,-0.01227375843849876,-0.02013862433852598,-0.01392842332693417
2019-01-12,0.0,0.0,0.0,0.0
2019-01-13,0.0,0.0,0.0,0.0
2019-01-14,0.006924042559653287,0.0026160539576043362,0.0014173140518678462,0.003615945487811405
2019-01-15,-0.013752213404948366,-0.005870743977412496,-0.004953909903510301,-0.008110366204337483
2019-01-16,-0.009960085386515494,0.003936916354293496,0.0035562189761275675,-0.0008140935185111618
2019-01-17,-0.0010060654441931272,0.007843109501058265,0.02551364474216622,0.010675727303680348
2019-01-18,0.007049403173943203,-0.001296961422114551,0.00967510983218256,0.0050910920227237
2019-01-19,0.0,0.0,0.0,0.0
2019-01-20,0.0,0.0,0.0,0.0
2019-01-21,0.0,0.0,0.0,0.0
2019-01-22,-0.022999936470120552,-0.01428548500504423,-0.010951208533354073,-0.015918087902811226
2019-01-23,0.017400109967108612,0.019762460628945933,0.020761150494654546,0.019114827959934
2019-01-24,-0.009054441901393817,0.002584097207126712,0.007457493818614491,0.00032575921103463737
2019-01-25,0.016243683304805634,0.019329600990599882,-0.08075361939279235,-0.014909510582137658
2019-01-26,0.0,0.0,0.0,0.0
2019-01-27,0.0,0.0,0.0,0.0
2019-01-28,0.0019981332546514796,-0.046143723463670905,-0.1800878206913067,-0.07399702559710762
2019-01-29,0.013958093212219413,0.03180895052450605,0.025000091112340694,0.023353154500191833
2019-01-30,0.01573242852364576,0.027617318136129443,0.09668979168828207,0.0462130476548589
2019-01-31,0.03000984784495686,0.018749859314815875,-0.011914111165063801,0.01215904667825395
2019-02-01,-0.005265344302479935,0.00797548081022903,0.010450080604948564,0.0043428716471902275
2019-02-02,0.0,0.0,0.0,0.0
2019-02-03,0.0,0.0,0.0,0.0
2019-02-04,0.018903737010272925,0.003651915351841506,-0.03341292899249526,-0.003582901288025674
2019-02-05,-0.05287558964330674,0.008489987832699608,-0.0032921223240215403,-0.015733648964427464
2019-02-06,-0.039177854696839653,-0.024654176255384797,-0.06193228371552595,-0.041502223840357635
2019-02-07,-0.00509619183135801,-0.02096174892254621,-0.01672528823054298,-0.014118465564867577
2019-02-08,0.018442512017104118,-0.011964741770557397,0.019695498907669418,0.008637178820891326
2019-02-09,0.0,0.0,0.0,0.0
2019-02-10,0.0,0.0,0.0,0.0
2019-02-11,-0.01609650891491432,-0.023581864397434704,-0.014925400316775472,-0.018019245297611085
2019-02-12,0.031696803322138534,0.04699737178320018,0.05614974521792715,0.04449849370667774
2019-02-13,-0.025767850048834418,0.013715636613813587,0.012658340785306699,0.00020002202559433677
2019-02-14,0.024414991137169828,0.028290158433312618,0.011666680235599802,0.021242703836007144
2019-02-15,0.004965481406114636,0.0017943930128274665,0.015650570361863902,0.007395446777665982
2019-02-16,0.0,0.0,0.0,0.0
2019-02-17,0.0,0.0,0.0,0.0
2019-02-18,0.0,0.0,0.0,0.0
2019-02-19,-0.0009884494111476183,0.002984876620438781,-0.011354435078594238,-0.003088142596870015
2019-02-20,-0.014836640387952738,-0.00476184204331731,0.003281539392196109,-0.0053845912028944
2019-02-21,0.007028390176542443,-0.004186494670742169,-0.016353264568711,-0.004458751790760541
2019-02-22,0.018547665539752956,-0.0012012205186532343,0.039069073154820666,0.01861712099805373
2019-02-23,0.0,0.0,0.0,0.0
2019-02-24,0.0,0.0,0.0,0.0
2019-02-25,-0.010288380092855487,-0.023451581844787794,0.003999928052685897,-0.009814211182035938
2019-02-26,0.0010397860928863523,0.0018472841248944327,-0.002390395421906444,0.00016390268263853256
2019-02-27,-0.001038706060769723,0.0092193897920676,-0.0023963368904615923,0.0019088344574759743
2019-02-28,-0.022869005889037397,-0.04263098031198853,-0.0008006262714710388,-0.021879202115924
2019-03-01,-0.012345540205869754,-0.01463101782367282,-0.0072114100876097265,-0.01128202947866026
2019-03-02,0.0,0.0,0.0,0.0
2019-03-03,0.0,0.0,0.0,0.0
2019-03-04,-0.0032327928394293437,0.004519079519539115,0.002421264090825881,0.0012234917544087652
2019-03-05,0.0021620598949574354,0.00642668748105657,0.019323541359792085,0.009211055282816011
2019-03-06,-0.017259688636287684,-0.023626968613419175,-0.013428093009095421,-0.017923867585404755
2019-03-07,0.004390723421883402,-0.016350625897741056,0.008807317586968955,-0.0010403530133332706
2019-03-08,0.005464107725928979,-0.0039892695012649915,-0.0007938488925520737,0.00022472647959693174
2019-03-09,0.0,0.0,0.0,0.0
2019-03-10,0.0,0.0,0.0,0.0
2019-03-11,0.044565499618006044,0.05941244165315984,0.031771211138106326,0.044797220295059836
2019-03-12,0.0031218535388841673,-0.0031508348433013644,0.004618958344687618,0.001514692423289239
2019-03-13,0.015560256919002313,0.027180968307767284,0.017624616788160186,0.019920727864926827
2019-03-14,-0.02451499471249252,0.0,-0.009789384131442813,-0.011320445018498661
