datetime,Servicios Financieros y Bancarios/bap,Minería/scco,Servicios Financieros y Bancarios/xvolb,Perú
2019-01-03,-0.016692481217460586,-0.032461091770356165,0.0,-0.01622067908597953
2019-01-04,0.02618224696259097,0.06607318817744834,0.0,0.030444293596212976
2019-01-05,0.0,0.0,0.0,0.0
2019-01-06,0.0,0.0,0.0,0.0
2019-01-07,-0.00765859648560685,0.005780362189319765,-0.050279346816358705,-0.01721200176717311
2019-01-08,0.003263504556187513,0.01277139128736482,0.0,0.00529151562837227
2019-01-09,-0.00501124717890844,0.0063052466211008795,0.0,0.0004270198159235048
2019-01-10,0.018201914063203484,-0.00031316110464330027,0.0,0.00590328847632486
2019-01-11,-0.0030806869691679672,-0.006267702388340068,0.0,-0.0030849684879776518
2019-01-12,0.0,0.0,0.0,0.0
2019-01-13,0.0,0.0,0.0,0.0
2019-01-14,0.004744096924849117,0.0163985172512644,0.0,0.006977062678117461
2019-01-15,-0.003812004709903394,-0.04747123528388231,-0.11176475589663015,-0.05380583864383723
2019-01-16,0.009436054610865163,0.022149849483599215,0.0,0.010423348351173246
2019-01-17,0.006246188439572142,0.020076338727163856,0.0,0.00868643396502288
2019-01-18,-0.006592757665963345,0.00874743357417862,0.1920530820832964,0.06408856013719885
2019-01-19,0.0,0.0,0.0,0.0
2019-01-20,0.0,0.0,0.0,0.0
2019-01-21,0.0,0.0,0.0,0.0
2019-01-22,0.001034243310130023,-0.01486529553746252,-0.11111116630059437,-0.04123093211421587
2019-01-23,0.009126608769238986,-0.019176539835844553,0.0,-0.0033164772519798376
2019-01-24,0.0013651075389644607,-0.0044869921714512095,0.1250000698491942,0.040219801121513465
2019-01-25,0.006390300163905405,0.03799107212157149,0.0,0.014645852854207376
2019-01-26,0.0,0.0,0.0,0.0
2019-01-27,0.0,0.0,0.0,0.0
2019-01-28,0.0014393010511879467,-0.014578144701662743,0.0,-0.004335818404656683
2019-01-29,0.01314614179973872,0.029902491608587933,0.0,0.014206049024747796
2019-01-30,-0.014102087316849143,0.030256608716360933,0.0,0.005330992061838891
2019-01-31,0.027422718662735157,-0.002669873597088146,0.0,0.008168438871663514
2019-02-01,0.0007002666689981396,-0.004461629077314511,0.0,-0.0012412495947444026
2019-02-02,0.0,0.0,0.0,0.0
2019-02-03,0.0,0.0,0.0,0.0
2019-02-04,0.014282774845774338,0.00896332160113289,0.0,0.007671211827479385
2019-02-05,0.00840029020069566,0.0050339659844049756,0.0,0.004433304541083209
2019-02-06,-0.006841382179067379,0.010606908420215166,0.0,0.00124262365957877
2019-02-07,-0.037845914265348,-0.04023331563209054,0.0,-0.025766145866154718
2019-02-08,0.0090967007860423,0.0019708663290463058,0.0,0.0036522971479792396
2019-02-09,0.0,0.0,0.0,0.0
2019-02-10,0.0,0.0,0.0,0.0
2019-02-11,-0.012979417308949581,-0.03018056380343337,0.0,-0.014242793767086374
2019-02-12,0.01534882665202364,-0.03111962394986456,0.0,-0.005204363108287504
2019-02-13,4.163543475277365e-05,0.013907426397405054,-0.011111133186904265,0.0009365164529336759
2019-02-14,-0.0158241371959843,0.026779546253568487,0.0,0.0036152849890027823
2019-02-15,0.011593525671480531,0.033715279743105064,0.0,0.014951905786813248
2019-02-16,0.0,0.0,0.0,0.0
2019-02-17,0.0,0.0,0.0,0.0
2019-02-18,0.0,0.0,0.0,0.0
2019-02-19,0.00263506696523641,0.05876919064901576,0.0,0.020263405012703215
2019-02-20,0.005256347438810094,0.04126711153939633,0.0,0.01535274146280812
2019-02-21,-0.007635810672236731,0.0008372436268364591,0.0,-0.00224352712498209
2019-02-22,0.01455274589674671,0.009202306432344542,0.0,0.007839167268600114
2019-02-23,0.0,0.0,0.0,0.0
2019-02-24,0.0,0.0,0.0,0.0
2019-02-25,-0.003338693781468116,0.01906636324900446,0.0,0.0051901309242869936
2019-02-26,4.141149193714888e-05,-0.002440605813241792,0.011235977630845717,0.002916138492148555
2019-02-27,0.006740761119336192,-0.0019027641901624426,0.0,0.0015965389866273373
2019-02-28,-0.0014377424354087287,-0.03022874243804885,0.0,-0.010449940008241001
2019-03-01,-0.016413609572326848,0.004493331198474726,0.0,-0.0039336918633712005
2019-03-02,0.0,0.0,0.0,0.0
2019-03-03,0.0,0.0,0.0,0.0
2019-03-04,0.010414006334491077,-0.0011183742049576395,-0.0055555665934521326,0.0012342216269068305
2019-03-05,-0.015149662043796863,0.014553548986475873,0.0,-0.0001967173089159266
2019-03-06,0.011221843169332502,-0.0033103039838782156,0.0,0.0026108079311999146
2019-03-07,-0.018079806636612128,-0.009963895474519036,0.0,-0.009254421696673284
2019-03-08,-0.0027089513432414503,0.001956823193727919,0.005586603340340668,0.0015953768129729551
2019-03-09,0.0,0.0,0.0,0.0
2019-03-10,0.0,0.0,0.0,0.0
2019-03-11,0.028861247482592223,0.033203078062794766,0.0,0.020481227429977707
2019-03-12,-0.008539312952662859,0.02160422275712781,0.0,0.004311420235473435
2019-03-13,0.013439375517508179,0.011102224258281668,0.0,0.00809872792601065
2019-03-14,0.01190621059251673,-0.030587949800076508,0.0,-0.006164973938494727
2019-03-15,0.006978518571772119,0.014562794303705884,0.0,0.007108633248907741
2019-03-16,0.0,0.0,0.0,0.0
2019-03-17,0.0,0.0,0.0,0.0
2019-03-18,0.010113220297512937,0.011961732295731053,0.0,0.007284734355770517
2019-03-19,-0.005544486297997642,0.02022605454726767,0.0,0.004844917522259109
2019-03-20,-0.004813269263349462,0.0074665274794809555,0.0,0.000875575211323393
