datetime,Telecomunicaciones/amx,Bebidas y Comercio Minorista/fmx,Servicios Financieros/gbooy,México
2019-01-03,-0.012925256083859749,0.007103634857981378,-0.025437154412248364,-0.010315395960581822
2019-01-04,0.010337698290990627,0.0170648153028099,0.006525371230889254,0.011196201992147627
2019-01-05,0.0,0.0,0.0,0.0
2019-01-06,0.0,0.0,0.0,0.0
2019-01-07,0.005456982405346089,0.016219219634748372,-0.011750540296240453,0.0032754683754718235
2019-01-08,0.052238780084644,0.007154610272609441,0.031570318578530765,0.03001802394880879
2019-01-09,0.015473971500910899,0.017704865451269258,0.031796538767540516,0.021441873987507822
2019-01-10,0.0,-0.0005369317140285768,0.04237277754412405,0.013805829123931508
2019-01-11,-0.01841271193862737,0.0030083432354339745,0.0347377132780069,0.006380003709688458
2019-01-12,0.0,0.0,0.0,0.0
2019-01-13,0.0,0.0,0.0,0.0
2019-01-14,0.015523877824940246,-0.00032118648720524945,0.001785678640482402,0.005606162092811741
2019-01-15,-0.008280350321887564,0.010608641797962726,-0.04705877907033684,-0.014761060906106356
2019-01-16,0.009633981361286459,-0.0011661677529126724,0.030303074001537533,0.012794392911270736
2019-01-17,0.007633696924343569,-0.004989557276367518,0.017792190932938823,0.006743989091701909
2019-01-18,0.0006312324283606063,-0.0034139987306150976,0.026043573640876394,0.0076760664217452295
2019-01-19,0.0,0.0,0.0,0.0
2019-01-20,0.0,0.0,0.0,0.0
2019-01-21,0.0,0.0,0.0,0.0
2019-01-22,-0.0006308342253407151,-0.01316786892716959,-0.020862311325263283,-0.011438134777665285
2019-01-23,0.0031566328594976323,0.006292102761775498,0.010298329541412299,0.0065165315036861925
2019-01-24,-0.013215978628557057,-0.008947837247554657,0.014762649859068278,-0.0024423847856243344
2019-01-25,0.005739809738628532,-0.004024727293990615,-0.011084066738553777,-0.0030917648169922346
2019-01-26,0.0,0.0,0.0,0.0
2019-01-27,0.0,0.0,0.0,0.0
2019-01-28,0.0050728828827673045,-0.00557010603704533,0.010858280866282932,0.0034191490449616193
2019-01-29,0.0018928386908434458,0.00702906639462153,-0.016978659287362974,-0.002658728886626339
2019-01-30,-0.010075687217098617,-0.014832678101699082,-0.011279583867432552,-0.011942023231455982
2019-01-31,0.020992395507082096,0.007638610193025475,-0.00962568277898257,0.0062717565639712515
2019-02-01,0.003115198638709904,-0.012414717880751991,-0.014038840178327572,-0.007701658608721988
2019-02-02,0.0,0.0,0.0,0.0
2019-02-03,0.0,0.0,0.0,0.0
2019-02-04,0.006832418127687756,0.008565959709800897,-0.006206732042907115,0.003033243112211908
2019-02-05,0.0012337800244337505,0.008934500097041997,0.04188109395220807,0.01717629344431566
2019-02-06,-0.018484223453256954,0.006340851160598904,-0.008815226491823203,-0.006916337598878813
2019-02-07,0.002510932002300459,0.010863642435072984,-0.01992178353827312,-0.0021605790032968933
2019-02-08,-0.0037570312189958432,-0.0002150239580824831,-0.006533584966773476,-0.0034668612474710947
2019-02-09,0.0,0.0,0.0,0.0
2019-02-10,0.0,0.0,0.0,0.0
2019-02-11,-0.006285355206724685,-0.0019347345825529993,-0.00949936827554998,-0.00584742116139313
2019-02-12,-0.003162488014345599,-0.00010760870884385376,0.003319723978685296,1.63769943136282e-05
2019-02-13,-0.07233517016040492,-0.009694277459672107,-0.03492648312491298,-0.0385954571458467
2019-02-14,0.004788005898781256,0.013052023429963144,-0.010666692853485427,0.002367201036835461
2019-02-15,0.020422057004923166,-0.004509257932403643,-0.0034655424448707395,0.004107594687124099
2019-02-16,0.0,0.0,0.0,0.0
2019-02-17,0.0,0.0,0.0,0.0
2019-02-18,0.0,0.0,0.0,0.0
2019-02-19,-0.01334222891056458,-0.00884375769992618,0.035548761347933944,0.00440971566335625
2019-02-20,0.008113561923399182,-0.003046915191378119,-0.010447696524907624,-0.001775746431652565
2019-02-21,0.010060434475262392,0.007422005893072292,0.031297107177578276,0.016097250690151277
2019-02-22,0.001328063704055138,0.0005416113811280709,0.019378445501562647,0.007011879793626133
2019-02-23,0.0,0.0,0.0,0.0
2019-02-24,0.0,0.0,0.0,0.0
2019-02-25,-0.008620788299777526,-0.011586234049574373,0.0035866423818480264,-0.005484725389276278
2019-02-26,-0.010033374282294782,-0.0029578770003801935,-0.022158537558735314,-0.011599430317665395
2019-02-27,-0.012837924202722562,0.0024171802773498285,-0.014619942772692629,-0.00826342661036157
2019-02-28,-0.015742599659277823,-0.006576845992357416,0.005192935613067107,-0.0056517483127274835
2019-03-01,-0.0006953955084174623,-0.003861693016542267,0.016605100608566792,0.00397584398759033
2019-03-02,0.0,0.0,0.0,0.0
2019-03-03,0.0,0.0,0.0,0.0
2019-03-04,-0.013917959018572956,-0.005316878801865155,-0.0068964841799554755,-0.008623336260129885
2019-03-05,-0.016937132895108897,-0.005345206157365223,0.009868346902864422,-0.0040966174093712004
2019-03-06,-0.012921706328651639,-0.011643501431163661,-0.032573250992314895,-0.018855691388202964
2019-03-07,0.01163634814302661,-0.010647931158998536,-0.03890761051291025,-0.01251333386453112
2019-03-08,0.012221469568924004,-0.002404447831873102,-0.026858707804424564,-0.00562375640223331
2019-03-09,0.0,0.0,0.0,0.0
2019-03-10,0.0,0.0,0.0,0.0
2019-03-11,0.015624969266757827,0.027430251056535182,0.020800009096860084,0.02107222570865052
2019-03-12,0.006992932505810456,-0.023234977448771676,-0.004702232680229179,-0.0069116116156528315
2019-03-13,0.01041674140711657,0.0020585165106599135,0.005905583880176701,0.006065677793324551
2019-03-14,-0.014433048256600078,-0.0012553027897597158,0.010175940685903884,-0.0018190954189504513
