datetime,Servicios Financieros y Bancarios/aval,Servicios Financieros y Bancarios/bogota,Petróleo y Gas/ec,Colombia
2019-01-03,0.006589639387094337,0.054383944845642906,0.002430330280990489,0.020923291789530153
2019-01-04,0.0556464274990216,-0.016842044723256122,0.0612122243492792,0.03300548035126474
2019-01-05,0.0,0.0,0.0,0.0
2019-01-06,0.0,0.0,0.0,0.0
2019-01-07,0.001550307075061319,0.0,0.014848481164825067,0.005411600119162508
2019-01-08,0.004644092431440594,0.008208263286987094,0.028700221375524526,0.013712350441004231
2019-01-09,0.01540825686720404,0.026548964309513368,0.02625801005725359,0.022511026307210427
2019-01-10,0.0333837247976112,0.0,-0.0037312368630939563,0.009785321018390691
2019-01-11,0.004405585467910145,0.0,-0.014446282394520171,-0.0033134299857813087
2019-01-12,0.0,0.0,0.0,0.0
2019-01-13,0.0,0.0,0.0,0.0
2019-01-14,0.0029241742788979064,0.0,-0.010314897006554746,-0.002438938500126757
2019-01-15,-0.007289121036992752,-0.00034477989451930924,0.021393336731627022,0.0045406138140379375
2019-01-16,0.007342642446516834,-0.01552284509134716,0.008055936885439374,-4.100770059901372e-05
2019-01-17,-0.011662157654819705,-0.017168603222944112,-0.009589962090025828,-0.012678838579370582
2019-01-18,-0.005899487172971729,0.011764760047219491,-0.0021517116290770133,0.0012254752109063472
2019-01-19,0.0,0.0,0.0,0.0
2019-01-20,0.0,0.0,0.0,0.0
2019-01-21,0.0,0.0,0.0,0.0
2019-01-22,-0.022255364722874926,0.02995081107901476,-0.020485063943519566,-0.004220573803835312
2019-01-23,-0.006069759892872617,-0.011974294176987255,-0.016510661542551097,-0.01140305615209562
2019-01-24,0.022900943226063397,0.0006927689914673074,0.0027979869113998745,0.00870926071254709
2019-01-25,0.02089541498159342,0.012110595808864977,0.0011159581115030015,0.011260249737647261
2019-01-26,0.0,0.0,0.0,0.0
2019-01-27,0.0,0.0,0.0,0.0
2019-01-28,-0.004386261418346971,0.012879701265444465,-0.008918607014466784,-0.00014030516523186494
2019-01-29,0.0029371448197652583,-0.008138063920040017,0.014060833165923992,0.0029237716416642473
2019-01-30,0.003968602218570538,0.007863143325328892,0.021075947202305656,0.010859538606247679
2019-01-31,0.014641539417395322,0.014246985198732354,0.023900083783531256,0.017420240771887446
2019-02-01,-0.007215086121992398,0.004216124869059978,0.0015913890507701645,-0.000464498826713544
2019-02-02,0.0,0.0,0.0,0.0
2019-02-03,0.0,0.0,0.0,0.0
2019-02-04,0.03197676734749866,0.044481557026977425,0.0,0.02523124704357711
2019-02-05,0.009859531861266868,0.005443263031876144,0.0021186609185781524,0.005749080417867984
2019-02-06,-0.005578976147560533,0.020382477795572118,-0.005813864784530831,0.0029665801649486493
2019-02-07,-0.005610192175029449,-0.01248437062302532,-0.022328685115067692,-0.013339671811330413
2019-02-08,-0.004231425022360735,0.0003159558153569275,0.002718950123909547,-0.00039485129742110607
2019-02-09,0.0,0.0,0.0,0.0
2019-02-10,0.0,0.0,0.0,0.0
2019-02-11,0.0,0.011058616219303818,-0.01843820505698901,-0.0024352643164361133
2019-02-12,0.011331636980491888,-0.015625372616045796,0.03756911720073486,0.010980875916509715
2019-02-13,-0.004201876324039122,0.004762121716414436,0.0026624860168442677,0.0010635013650424619
2019-02-14,0.0014065355296875026,-0.005371341211300451,-0.0015934663929260129,-0.0018342297845978573
2019-02-15,0.00983141765658413,0.0006352017005857302,0.032978873054851254,0.014337012495966969
2019-02-16,0.0,0.0,0.0,0.0
2019-02-17,0.0,0.0,0.0,0.0
2019-02-18,0.0,0.0,0.0,0.0
2019-02-19,0.015298912782258478,0.0028571792519132,0.004634415465178066,0.007520867474785416
2019-02-20,-0.004109128609097845,0.0025323492676705417,0.016401750641949153,0.00489224052917221
2019-02-21,0.0,0.0018947948523326819,-0.01462418459225645,-0.004200698614174844
2019-02-22,0.01513055630820137,-0.0072488549315100625,0.01330595710515392,0.0069919272990089255
2019-02-23,0.0,0.0,0.0,0.0
2019-02-24,0.0,0.0,0.0,0.0
2019-02-25,0.017615107230605886,0.019926795380530216,0.02171721556117956,0.019555508996864167
2019-02-26,0.01864172703743039,-0.015317319346137004,0.018784024650059683,0.007295782672646513
2019-02-27,-0.013511864209818647,0.014285675379038576,0.021833932325434624,0.007460555353236003
2019-02-28,0.0279257015809653,-0.012206504192528778,-0.038936233620724514,-0.007661621956655038
2019-03-01,-0.016817546890488977,0.018627195445948708,0.012351785595821285,0.004673273269922736
2019-03-02,0.0,0.0,0.0,0.0
2019-03-03,0.0,0.0,0.0,0.0
2019-03-04,-0.006578766453361196,-0.00936931282429454,0.014153196419109504,-0.0005923113433202558
2019-03-05,-0.0026492950377600133,0.008827188253957008,0.0009622961075488323,0.002356262476836123
2019-03-06,0.01992024615920296,0.06187533320902694,-0.013942262368907499,0.022391594609776393
2019-03-07,-0.01432305105084486,-0.0173634032388178,-0.013651773299643177,-0.014961615104470926
2019-03-08,-0.003962700233068661,-0.018568531786922082,-0.022244205580610132,-0.014775894408198289
2019-03-09,0.0,0.0,0.0,0.0
2019-03-10,0.0,0.0,0.0,0.0
2019-03-11,-0.0013263652175447005,0.03722938549856725,0.0217391736967687,0.019021924012671113
2019-03-12,0.0146082120562121,0.0,0.015338863626772614,0.009882534975384955
2019-03-13,-0.011779797825470117,0.015004626322301373,0.033138594205115446,0.011999929491642412
2019-03-14,0.01059584327503793,0.0,-0.005188599220561696,0.0017843905379771575
2019-03-15,0.0039318487844324235,-0.02173965962910418,0.013750404654429893,-0.0013389440427798143
