datetime,Venta al por menor/cencosud,Energía Eléctrica/enel,Industria Química/sqm,Chile
2019-01-03,0.010628992104099177,0.005762222441577869,-0.03322961225894583,-0.005556671245378697
2019-01-04,0.014520000394657284,0.03127250815938121,0.048334910138501996,0.03106204816853836
2019-01-05,0.0,0.0,0.0,0.0
2019-01-06,0.0,0.0,0.0,0.0
2019-01-07,-0.002939613069624536,-0.006250127110482673,0.011270679298182484,0.0006867099089648407
2019-01-08,0.03227802270504854,0.007453989140717487,0.035967773706226724,0.024980929232157605
2019-01-09,0.038183833985727667,0.0019267988509590328,0.008557361577519407,0.016060438156688013
2019-01-10,-0.009339565819686202,0.0061539705567350556,0.022787775151460687,0.006468719363208149
2019-01-11,0.011474090559251637,0.01827206275002924,-0.005214389008981302,0.00809548221909886
2019-01-12,0.0,0.0,0.0,0.0
2019-01-13,0.0,0.0,0.0,0.0
2019-01-14,-0.010115739271845392,0.006081661945319228,0.017631625564460407,0.004487190918518301
2019-01-15,0.01459866125413134,0.011194008695703417,-0.015218814999607755,0.003489372133574911
2019-01-16,0.010791300283794047,0.010331824649389754,0.008558859843821098,0.009795054976411617
2019-01-17,-0.024982048917030486,0.005844027072723579,0.017444705193591092,-0.0005587944947362186
2019-01-18,0.029272042056275316,0.005083264837354884,-0.015291821280701057,0.006290950252266618
2019-01-19,0.0,0.0,0.0,0.0
2019-01-20,0.0,0.0,0.0,0.0
2019-01-21,0.0,0.0,0.0,0.0
2019-01-22,-0.0358155225430733,-0.026002173765460546,-0.0032941271666414584,-0.02148690174680785
2019-01-23,-0.008459096139259992,0.0006676758290653506,-0.00023628661231656078,-0.0026491432844286964
2019-01-24,-0.017062398077867802,0.0007412520988159255,-0.0023608869728245496,-0.006165070874119221
2019-01-25,0.003773648907040794,0.004518989230345216,0.0035501733984417694,0.003908127806823167
2019-01-26,0.0,0.0,0.0,0.0
2019-01-27,0.0,0.0,0.0,0.0
2019-01-28,0.03007517823489536,-0.0036873117554686585,-0.011792354739321276,0.004816518874234791
2019-01-29,-0.034306470575702686,0.0033309657941660298,0.004772949709734853,-0.008646843173694595
2019-01-30,-0.0022675337033851717,-0.009959264365733578,0.0011878012796973092,-0.0036428689405090748
2019-01-31,0.003787681373208729,-0.0014904727470853585,0.0120997621652994,0.0047510003611695144
2019-02-01,0.006037955219305724,0.0,-0.003985074235490882,0.0006774507246588978
2019-02-02,0.0,0.0,0.0,0.0
2019-02-03,0.0,0.0,0.0,0.0
2019-02-04,-0.0023256435841562118,0.005969980360399418,0.009413924698949305,0.004309226286813529
2019-02-05,-0.03752156502013404,0.0017062826742779702,-0.003730565581304246,-0.013050129815962904
2019-02-06,-0.046875179728380845,-0.005405908757822542,-0.0030423845215986622,-0.018256746092574674
2019-02-07,0.009016517932254775,-0.0026064139463752856,0.0002348407864323221,0.002192831774862898
2019-02-08,-0.017059280471559024,0.004106132797254025,-0.02487684644353627,-0.012483898058887619
2019-02-09,0.0,0.0,0.0,0.0
2019-02-10,0.0,0.0,0.0,0.0
2019-02-11,0.0,0.005353089127124067,-0.020216784842155167,-0.004905019585960263
2019-02-12,-0.0016529345512207305,0.00207076156900432,-0.013509954292664217,-0.004320402000710607
2019-02-13,0.009933671224555907,0.001844959127472956,0.006473974953965511,0.006023359750978143
2019-02-14,-0.006557262278069964,-0.013775391854345287,0.015091498896734334,-0.0017295812277747027
2019-02-15,0.014851507656494345,0.0008964677595288961,0.007555776894090593,0.007690238262337566
2019-02-16,0.0,0.0,0.0,0.0
2019-02-17,0.0,0.0,0.0,0.0
2019-02-18,0.0,0.0,0.0,0.0
2019-02-19,0.007317154098933409,-0.001567210961521237,-0.0016932799944229249,0.001338698837186452
2019-02-20,0.03309117212709012,0.0008220927161588509,0.01647682112934379,0.016628728370955612
2019-02-21,-0.010234436102394273,0.0,0.03814053522812766,0.009209012711492017
2019-02-22,0.010261290647922916,0.014189771975029464,0.018829131689735545,0.014282464123187016
2019-02-23,0.0,0.0,0.0,0.0
2019-02-24,0.0,0.0,0.0,0.0
2019-02-25,-0.011719660537310994,-0.0030192361132834744,0.00676109207953024,-0.0026326755084511958
2019-02-26,-0.0046644813545994035,-0.007312085014955283,-0.011417061072375279,-0.007719897055836889
2019-02-27,-0.007148473326634375,-0.10297626786330016,0.019021685024019463,-0.03006400853475198
2019-02-28,-0.023200004187975076,-0.05441257055304438,-0.08399981980251003,-0.05333209019936473
2019-03-01,0.0034398274191054234,-0.00017551182334940574,-0.04585159876415845,-0.014053803445572804
2019-03-02,0.0,0.0,0.0,0.0
2019-03-03,0.0,0.0,0.0,0.0
2019-03-04,-0.000244839604759739,-0.01737164728703655,-0.008644781127531087,-0.008666218446378035
2019-03-05,-0.009470105945070473,-0.004374992991899029,0.009489604270322083,-0.0014373132399936482
2019-03-06,0.013681707489811679,0.002600741722362354,-0.021087352937270598,-0.0015856182292818665
2019-03-07,-0.008049670155622524,0.01887306743528283,-0.023098922501201047,-0.004050923323108444
2019-03-08,0.0008197989347129564,0.04556221808552374,0.0015940071301727698,0.015832087969635127
2019-03-09,0.0,0.0,0.0,0.0
2019-03-10,0.0,0.0,0.0,0.0
2019-03-11,0.027846101077615204,0.0008396557021084217,0.025994641412875996,0.018044531403557877
2019-03-12,-0.019920377765160202,0.0017617326359848917,0.015253415337208143,-0.0009587258313491654
2019-03-13,-0.004065038943060428,0.02001502392746457,0.02495544747416889,0.013498792711329102
2019-03-14,-0.012244892795247653,0.009277654929002344,0.000745231091422216,-0.0007332622356916207
