Activo,vc_95,hs_95,mc_95,es_95,vc_99,hs_99,mc_99,es_99,datetime,PnL
Perú/Minería/scco,-0.03065661286054908,-0.03234061798450419,-0.02906331659309592,-0.037433090942839385,-0.04335823260189432,-0.048768019552476644,-0.0430301800324996,-0.04866245035736254,2023-09-06,0.0204082051573686
Perú/Servicios Financieros y Bancarios/xvolb,-0.12508827306671708,-0.0,-0.120743408744332,-0.15489462512723554,-0.17691473171112918,-0.3240475726673344,-0.1777324451959729,-0.20071381536843116,2023-09-06,-0.0151564062189803
Perú,-0.04442706211527733,-0.015959159180754346,-0.04290717149119774,-0.05503643062760654,-0.0628340417702134,-0.11049961884960423,-0.06314760381615471,-0.07130976929648886,2023-09-07,-0.0060693379691829
Perú/Servicios Financieros y Bancarios/bap,-0.0237171762396285,-0.02516631950226434,-0.023438791071700053,-0.029913981734209283,-0.033543654960697306,-0.03885016940766927,-0.03424411269069211,-0.03860146125139711,2023-09-07,0.0035308798048105
Perú/Minería/scco,-0.030538055078646445,-0.03234061798450419,-0.02904233661683086,-0.03737974268484519,-0.0431905540684607,-0.048768019552476644,-0.04295518624991337,-0.04856567499440964,2023-09-07,0.0
Perú/Servicios Financieros y Bancarios/xvolb,-0.12508827306671708,-0.0,-0.120743408744332,-0.15489462512723554,-0.17691473171112918,-0.3240475726673344,-0.1777324451959729,-0.20071381536843116,2023-09-07,-0.0008376911942428
Perú,-0.04465164659107355,-0.01595653578104483,-0.04328547009467287,-0.055476057280671856,-0.06315167588017331,-0.11065045907909314,-0.06362823939901674,-0.07183167024498353,2023-09-08,-0.0169380770020893
Perú/Servicios Financieros y Bancarios/bap,-0.023782730358418717,-0.02516631950226434,-0.023581856568914816,-0.030074944615732815,-0.03363636940189952,-0.03885016940766927,-0.03441704402563651,-0.03878643626904103,2023-09-08,-0.0135712717542717
Perú/Minería/scco,-0.030316978021530418,-0.0322488502865675,-0.02904100704168955,-0.0373180553301154,-0.04287788056767373,-0.048768019552476644,-0.04285313605438355,-0.048423008252167166,2023-09-08,-0.0999999776482593
Perú/Servicios Financieros y Bancarios/xvolb,-0.125555842936651,-0.0,-0.12161877230742263,-0.155897643181117,-0.17757602470101197,-0.3240475726673344,-0.17882082917822895,-0.20188810185776482,2023-09-08,-0.0430680777135247
Perú,-0.044651891556427785,-0.016011169159107715,-0.043286344529472186,-0.05547701663975082,-0.06315202233934859,-0.11067304237065037,-0.06362925169114904,-0.07183273392198884,2023-09-09,-0.0052502512571885
Perú/Servicios Financieros y Bancarios/bap,-0.02369419324100716,-0.02516631950226434,-0.02343297960579814,-0.029901895520564818,-0.03351114966715278,-0.03885016940766927,-0.034227830387563905,-0.03858095648371615,2023-09-09,0.0028025633210588
Perú/Minería/scco,-0.03022000180573913,-0.0322488502865675,-0.02903223954088791,-0.03728281168052468,-0.04274072525504162,-0.048768019552476644,-0.042800187105064155,-0.048352242714142964,2023-09-09,0.0
Perú/Servicios Financieros y Bancarios/xvolb,-0.125555842936651,-0.0,-0.12161877230742263,-0.155897643181117,-0.17757602470101197,-0.3240475726673344,-0.17882082917822895,-0.20188810185776482,2023-09-09,-0.0008077370189228
Perú,-0.04461569660986861,-0.015975856195757865,-0.04327383463322742,-0.05545460299022192,-0.06310083113570635,-0.11067058959902965,-0.06360021982131649,-0.07179704451587891,2023-09-10,0.0
Perú/Servicios Financieros y Bancarios/bap,-0.023561417039716034,-0.02516631950226434,-0.02339983569403486,-0.029832501457851136,-0.03332336175184185,-0.03885016940766927,-0.03413419489181933,-0.038462927182244186,2023-09-10,0.0
Perú/Minería/scco,-0.030059500849425054,-0.0322488502865675,-0.02899891732787897,-0.03720566998904375,-0.04251372568961841,-0.048768019552476644,-0.04269374217139037,-0.048216310348916575,2023-09-10,0.0
Perú/Servicios Financieros y Bancarios/xvolb,-0.125555842936651,-0.0,-0.12161877230742263,-0.155897643181117,-0.17757602470101197,-0.3240475726673344,-0.17882082917822895,-0.20188810185776482,2023-09-10,0.0
Perú,-0.04461119361645959,-0.015976975711071158,-0.043277306369608755,-0.05545683886329986,-0.06309446246619543,-0.11067206472389401,-0.06360163062065761,-0.07179762572923719,2023-09-11,0.0
Perú/Servicios Financieros y Bancarios/bap,-0.023560299374024648,-0.02516631950226434,-0.023406600956720168,-0.029838961578879795,-0.03332178101592563,-0.03885016940766927,-0.034140450956565725,-0.03846897790808588,2023-09-11,0.0
Perú/Minería/scco,-0.030001732127703566,-0.0322488502865675,-0.02901710202806807,-0.0372080828501363,-0.04243202228406255,-0.048768019552476644,-0.04268560798726491,-0.048197562824741545,2023-09-11,0.0
Perú/Servicios Financieros y Bancarios/xvolb,-0.125555842936651,-0.0,-0.12161877230742263,-0.155897643181117,-0.17757602470101197,-0.3240475726673344,-0.17882082917822895,-0.20188810185776482,2023-09-11,0.0
Perú,-0.045094841896306324,-0.016011612655154175,-0.04353422789375419,-0.05584577937717152,-0.06377849545804909,-0.11090911606582246,-0.06407886117278008,-0.07236370391706572,2023-09-12,0.0127862114635335
Perú/Servicios Financieros y Bancarios/bap,-0.023601178952176692,-0.02516631950226434,-0.023393428898897378,-0.02983695033801359,-0.0333795977834285,-0.03885016940766927,-0.034145903248670555,-0.038481940646173954,2023-09-12,0.021341466960419
Perú/Minería/scco,-0.03008384433940587,-0.0322488502865675,-0.029008733251228557,-0.037222132097311136,-0.042548155152055483,-0.048768019552476644,-0.04271464875898741,-0.04824168935219914,2023-09-12,0.1555555334797629
Perú/Servicios Financieros y Bancarios/xvolb,-0.12661586075946382,-0.001020410257868082,-0.12201052655349237,-0.15657880023968945,-0.1790752281365884,-0.3240475726673344,-0.17969551753844581,-0.2029575379859237,2023-09-12,0.0625954599282261
Perú,-0.04541178362409426,-0.01599788885835991,-0.04403234309558626,-0.05643047293434338,-0.06422675219199375,-0.11093655298191804,-0.06472144165699024,-0.07306453017852425,2023-09-13,0.0076335381987708
Perú/Servicios Financieros y Bancarios/bap,-0.02361597003746856,-0.02516631950226434,-0.023376132890708865,-0.02982369254653362,-0.033400517097621374,-0.03885016940766927,-0.03413534591932212,-0.038474100753064844,2023-09-13,-0.013805977478673
Perú/Minería/scco,-0.03012215142271726,-0.0322488502865675,-0.029103838302996808,-0.037327695631390254,-0.04260233359101319,-0.048768019552476644,-0.042827206156316654,-0.04836128457362031,2023-09-13,-0.1442307719861619
Perú/Servicios Financieros y Bancarios/xvolb,-0.12756675696728625,-0.001020410257868082,-0.1235443395465147,-0.1583722239968136,-0.1804200987896696,-0.3240475726673344,-0.18166254986786767,-0.20509927012702092,2023-09-13,-0.0496330597178011
Perú,-0.04559793363447477,-0.01599945115402827,-0.04435177682318738,-0.0568007446996189,-0.06449002770405496,-0.11100094905870625,-0.06512570673605415,-0.07350300057639678,2023-09-14,-0.0029137084793207
Perú/Servicios Financieros y Bancarios/bap,-0.02361770530764785,-0.02516631950226434,-0.02338997568337957,-0.029838009097342657,-0.03340297132335085,-0.03885016940766927,-0.03414997928470661,-0.03848905292440421,2023-09-14,-0.0116029531885798
Perú/Minería/scco,-0.030149279144380498,-0.0322488502865675,-0.029178796871371922,-0.03741006052707155,-0.04264070084545139,-0.048768019552476644,-0.042914523858612275,-0.04845358621404374,2023-09-14,-0.1011236312488393
Perú/Servicios Financieros y Bancarios/xvolb,-0.1280321170158061,-0.001020410257868082,-0.12442221711306233,-0.15937715273549213,-0.18107826638695554,-0.3240475726673344,-0.18275244107980382,-0.20627465785494786,2023-09-14,-0.0381612966625241
Perú,-0.045563584983601885,-0.0159732503611777,-0.04427928907679474,-0.05671889317940962,-0.06444144775163549,-0.1110022049558489,-0.06503759043229365,-0.07340857865485416,2023-09-15,0.0071595243467303
Perú/Servicios Financieros y Bancarios/bap,-0.0233332854791997,-0.02516631950226434,-0.022934274225174203,-0.029304656210535823,-0.03300071093227172,-0.03885016940766927,-0.03356469883741123,-0.03785151851915013,2023-09-15,0.0234783242746647
Perú/Minería/scco,-0.03015840217260175,-0.0322488502865675,-0.029000704216486574,-0.037234458613350126,-0.042653603718363346,-0.048768019552476644,-0.04274058756926867,-0.048281326018577736,2023-09-15,0.0
