Activo,vc_95,hs_95,mc_95,es_95,vc_99,hs_99,mc_99,es_99,datetime,PnL
Colombia/Servicios Financieros y Bancarios/aval,-0.03321730490961902,-0.037342998431114424,-0.03244873014148903,-0.04151761677501249,-0.046979868233672575,-0.050037819280704846,-0.04758222070706655,-0.053684944499985295,2023-09-09,0.0244097639055622
Colombia/Servicios Financieros y Bancarios/bogota,-0.03624044023498994,-0.03310961497619312,-0.03680130352490845,-0.04669555728614399,-0.051255546216125596,-0.06453615563030524,-0.053312106008158035,-0.05997024391217196,2023-09-09,0.0117745488314522
Colombia/Petróleo y Gas/ec,-0.03157851202503728,-0.03503412384176442,-0.03025035179202731,-0.03887182022210125,-0.044662092183224984,-0.04677789533319656,-0.044637223788601924,-0.05043886655295392,2023-09-09,0.0149004616109721
Colombia,-0.021683352492038104,-0.02304763935019165,-0.02135014453944462,-0.027268921058261557,-0.030667179222154107,-0.034458618926939175,-0.03122720556520614,-0.035210489291370085,2023-09-10,0.0
Colombia/Servicios Financieros y Bancarios/aval,-0.0330703476701849,-0.037342998431114424,-0.03242711112879455,-0.04145587594785926,-0.04677202380549322,-0.050037819280704846,-0.04749364936327325,-0.05356937399283191,2023-09-10,0.0
Colombia/Servicios Financieros y Bancarios/bogota,-0.03624044023498994,-0.03310961497619312,-0.03680130352490845,-0.04669555728614399,-0.051255546216125596,-0.06453615563030524,-0.053312106008158035,-0.05997024391217196,2023-09-10,0.0
Colombia/Petróleo y Gas/ec,-0.03153751284475764,-0.03503412384176442,-0.030276093737661106,-0.03888636869737268,-0.04460410626015064,-0.04677789533319656,-0.044644286894707744,-0.05043839723962766,2023-09-10,0.0
Colombia,-0.021680087412455425,-0.02304613843798495,-0.021356631760947327,-0.027274550540399373,-0.03066256135779142,-0.03445642497030066,-0.031232254256617513,-0.035214950030853454,2023-09-11,0.0
Colombia/Servicios Financieros y Bancarios/aval,-0.03306750640516508,-0.037342998431114424,-0.03244132992214663,-0.04146931902775623,-0.04676800535015461,-0.050037819280704846,-0.047506573703102115,-0.05358177633198415,2023-09-11,0.0
Colombia/Servicios Financieros y Bancarios/bogota,-0.03624044023498994,-0.03310961497619312,-0.03680130352490845,-0.04669555728614399,-0.051255546216125596,-0.06453615563030524,-0.053312106008158035,-0.05997024391217196,2023-09-11,0.0
Colombia/Petróleo y Gas/ec,-0.03153233502715759,-0.03503412384176442,-0.03029626649157125,-0.038905127819413785,-0.04459678317390839,-0.04677789533319656,-0.044662100683794774,-0.05045525975374674,2023-09-11,0.0
Colombia,-0.021717776740177865,-0.02304594412556102,-0.021360272556950503,-0.027288499991932585,-0.030715866093230786,-0.03446490653053919,-0.03125309364404376,-0.03524272075939997,2023-09-12,0.0266666412353515
