datetime,Servicios Financieros y Bancarios/ggal,Comercio Electrónico y Tecnología Financiera/meli,Energía y Petróleo/ypf,Argentina
2019-01-03,0.007022517600584033,-0.004764985675652866,0.002915396963414807,0.0017070665331541716
2019-01-04,0.07043253965350305,0.06318483585341639,0.04869190599263984,0.06016206289485456
2019-01-05,0.0,0.0,0.0,0.0
2019-01-06,0.0,0.0,0.0,0.0
2019-01-07,0.01758943266887547,0.043161184944970454,0.006929976331566001,0.022334596001985937
2019-01-08,0.007042191619333282,-0.0013680677439388278,-0.020646979111351715,-0.004941042227865896
2019-01-09,0.028925612503706954,0.03491735383632055,0.013352143417663331,0.025474386220037976
2019-01-10,0.0330554612594125,-0.0010883490013159358,0.002773872880476258,0.011464525095729032
2019-01-11,-0.028409154257394098,0.015783786115440845,0.015214397929367518,0.0008543798298467076
2019-01-12,0.0,0.0,0.0,0.0
2019-01-13,0.0,0.0,0.0,0.0
2019-01-14,-0.01231142191398471,-0.015016735787939162,-0.004768417342632114,-0.010591869764703476
2019-01-15,-0.009037123181294349,0.03040297090343702,-0.006844597208750858,0.004792012669419299
2019-01-16,-0.008176047555434995,-0.014795751458083872,0.013094419925204548,-0.0032595350991437254
2019-01-17,0.00697527829656619,-0.007798916666718281,0.01768710195767209,0.005564942983881601
2019-01-18,0.045654761335717,0.024632534860065336,0.029411725029942604,0.03290067700448923
2019-01-19,0.0,0.0,0.0,0.0
2019-01-20,0.0,0.0,0.0,0.0
2019-01-21,0.0,0.0,0.0,0.0
2019-01-22,-0.02198132189635682,-0.05646500343285765,0.0006493540530900788,-0.025673000521121054
2019-01-23,0.04002457983669827,-0.005984345512939915,-0.009733927629103523,0.008021081209236095
2019-01-24,-0.007992831579120008,0.03122716146070137,0.026212330850022614,0.01631739804142931
2019-01-25,0.024768835439613834,0.01099811603554568,-0.0019157188047824736,0.011170906781224423
2019-01-26,0.0,0.0,0.0,0.0
2019-01-27,0.0,0.0,0.0,0.0
2019-01-28,0.013104188387628612,0.03534762874647579,-0.017274500963540662,0.010288514336286032
2019-01-29,-0.0011499555515227522,-0.010619687362455998,0.020182335168472232,0.002776188443982849
2019-01-30,0.023309554572413793,0.030720546906123358,0.014677682001177805,0.022673568548305937
2019-01-31,0.026715220656108984,0.00546934160106094,0.028301975171063587,0.01996055735131706
2019-02-01,-0.009038419228411199,0.0018131968739267812,0.00917424182668558,0.0006431764258263842
2019-02-02,0.0,0.0,0.0,0.0
2019-02-03,0.0,0.0,0.0,0.0
2019-02-04,0.02432280051435831,0.009378552283801245,0.006060637828840365,0.013121456906909974
2019-02-05,0.006475845714160933,-0.013122111357492527,-0.0018072383316535268,-0.0027896563117450904
2019-02-06,-0.04852535326514873,-0.011920128209953584,-0.027760984795146326,-0.02910813386918205
2019-02-07,-0.008171478507942087,-0.002006021380159373,-0.03414028375960143,-0.014624868603741955
2019-02-08,0.022443409136228665,-0.02897823709959313,0.003213322519530326,-0.001096096796465266
2019-02-09,0.0,0.0,0.0,0.0
2019-02-10,0.0,0.0,0.0,0.0
2019-02-11,0.00916925660507184,0.008653841598137646,-0.011531068604462291,0.0020763697675865744
2019-02-12,0.012114368271558318,0.03753958878033803,0.025923536659024027,0.024940572924603725
2019-02-13,-0.042437525568433165,-0.009423056801596719,-0.009475667854011216,-0.020240962573933565
2019-02-14,0.0062500729378136555,-0.0020246026333292644,0.00318873083438187,0.002446686375825866
2019-02-15,-0.018068879448359332,0.009059609267458635,-0.016528890276916397,-0.008427592951079642
2019-02-16,0.0,0.0,0.0,0.0
2019-02-17,0.0,0.0,0.0,0.0
2019-02-18,0.0,0.0,0.0,0.0
2019-02-19,-0.06239212053870902,0.011319155280847815,-0.031027833398910798,-0.027093263556734762
2019-02-20,0.011959547441797502,0.003077271613266319,-0.022681778877369885,-0.002522836741361
2019-02-21,-0.017575972013533225,-0.009121967163403744,-0.004778116474501659,-0.010387098364974747
2019-02-22,0.03855661677695732,0.024878037971799438,0.024691288858347038,0.029081561390344252
2019-02-23,0.0,0.0,0.0,0.0
2019-02-24,0.0,0.0,0.0,0.0
2019-02-25,-0.006236963778956994,0.0027535657007418113,-0.022088341272321288,-0.008438673985677035
2019-02-26,-0.012851064829203396,-0.014929766611186834,-0.00958239662657967,-0.012329865262100066
2019-02-27,-0.04208310327046483,0.20890959019605138,0.002073199337681242,0.05573689646687838
2019-02-28,-0.033817906889200056,0.027111166982422885,-0.024827583647306306,-0.010406326772847549
2019-03-01,-0.04939487601638781,-0.015584458604844031,-0.02828855525214835,-0.030778403658215464
2019-03-02,0.0,0.0,0.0,0.0
2019-03-03,0.0,0.0,0.0,0.0
2019-03-04,-0.02305568513352474,0.026924038504419823,-0.031295441967204796,-0.009050939236782206
2019-03-05,-0.00387449102579962,0.008559726876222307,-0.022539488996422774,-0.00589190353818003
2019-03-06,-0.07107499905859516,-0.013339868698144741,-0.027671019678855324,-0.03698834285374643
2019-03-07,-0.025504475897038636,-0.022490422963332035,0.0071145858315568855,-0.013490503299508549
2019-03-08,0.034374960211239536,-0.0034578246252878753,0.007849335009104896,0.012792935296368666
2019-03-09,0.0,0.0,0.0,0.0
2019-03-10,0.0,0.0,0.0,0.0
2019-03-11,0.037386633495706034,0.0701082970493474,0.061526502716740206,0.05577707297639191
2019-03-12,-0.011284807515088646,0.00492616180691785,0.011005122642791854,0.0015333373884249494
2019-03-13,0.017304743568856473,0.05057082223435416,0.01669087387450774,0.02790692509364706
2019-03-14,-0.013029319119256533,-0.027838450839199003,-0.0007137795953418014,-0.01372191135275312
